排名,名称,链接,星级,评分,评价人数
181,黑天鹅,https://movie.douban.com/subject/1978709/,4.5,8.6,675802
182,惊魂记,https://movie.douban.com/subject/1293181/,4.5,9.0,198833
183,无敌破坏王,https://movie.douban.com/subject/6534248/,4.5,8.7,425296
184,你看起来好像很好吃,https://movie.douban.com/subject/4848115/,4.5,8.9,271647
185,冰川时代,https://movie.douban.com/subject/1291578/,4.5,8.6,502598
186,小偷家族,https://movie.douban.com/subject/27622447/,4.5,8.7,661847
187,寄生虫,https://movie.douban.com/subject/27010768/,4.5,8.7,1091834
188,雨人,https://movie.douban.com/subject/1291870/,4.5,8.7,333534
189,绿里奇迹,https://movie.douban.com/subject/1300374/,4.5,8.9,236574
190,哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,4.5,8.6,440425
191,爱在午夜降临前,https://movie.douban.com/subject/10808442/,4.5,8.8,276396
192,恋恋笔记本,https://movie.douban.com/subject/1309163/,4.5,8.5,527384
193,疯狂的石头,https://movie.douban.com/subject/1862151/,4.5,8.5,643623
194,恐怖游轮,https://movie.douban.com/subject/3011051/,4.5,8.5,635643
195,奇迹男孩,https://movie.douban.com/subject/26787574/,4.5,8.6,460040
196,雨中曲,https://movie.douban.com/subject/1293460/,4.5,9.0,165446
197,魔女宅急便,https://movie.douban.com/subject/1307811/,4.5,8.7,368904
198,二十二,https://movie.douban.com/subject/26430107/,4.5,8.7,235730
199,九品芝麻官,https://movie.douban.com/subject/1297518/,4.5,8.6,470729
200,海边的曼彻斯特,https://movie.douban.com/subject/25980443/,4.5,8.6,387270
201,房间,https://movie.douban.com/subject/25724855/,4.5,8.8,314758
202,虎口脱险,https://movie.douban.com/subject/1296909/,4.5,8.9,189453
203,人工智能,https://movie.douban.com/subject/1302827/,4.5,8.7,352057
204,2001太空漫游,https://movie.douban.com/subject/1292226/,4.5,8.8,233034
205,色，戒,https://movie.douban.com/subject/1828115/,4.5,8.5,557782
206,可可西里,https://movie.douban.com/subject/1308857/,4.5,8.8,236594
207,罗生门,https://movie.douban.com/subject/1291879/,4.5,8.8,244246
208,城市之光,https://movie.douban.com/subject/1293908/,4.5,9.3,105942
209,终结者2：审判日,https://movie.douban.com/subject/1291844/,4.5,8.7,279497
210,初恋这件小事,https://movie.douban.com/subject/4739952/,4,8.4,827013
211,魂断蓝桥,https://movie.douban.com/subject/1293964/,4.5,8.8,222895
212,牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,4.5,8.9,207397
213,遗愿清单,https://movie.douban.com/subject/1867345/,4.5,8.7,316015
214,大佛普拉斯,https://movie.douban.com/subject/27059130/,4.5,8.7,321508
215,波西米亚狂想曲,https://movie.douban.com/subject/5300054/,4.5,8.7,461235
216,新龙门客栈,https://movie.douban.com/subject/1292287/,4.5,8.6,353107
217,源代码,https://movie.douban.com/subject/3075287/,4.5,8.5,661725
218,青蛇,https://movie.douban.com/subject/1303394/,4.5,8.6,410430
219,海洋,https://movie.douban.com/subject/3443389/,4.5,9.1,137753
220,燃情岁月,https://movie.douban.com/subject/1295865/,4.5,8.8,234758
221,无耻混蛋,https://movie.douban.com/subject/1438652/,4.5,8.6,382636
222,疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,4.5,8.6,415070
223,血钻,https://movie.douban.com/subject/1428175/,4.5,8.7,290881
224,步履不停,https://movie.douban.com/subject/2222996/,4.5,8.8,210912
225,穿越时空的少女,https://movie.douban.com/subject/1937946/,4.5,8.6,319176
226,谍影重重2,https://movie.douban.com/subject/1308767/,4.5,8.7,286807
227,阿飞正传,https://movie.douban.com/subject/1305690/,4.5,8.5,398079
228,彗星来的那一夜,https://movie.douban.com/subject/25807345/,4.5,8.5,414975
229,地球上的星星,https://movie.douban.com/subject/2363506/,4.5,8.9,167735
230,战争之王,https://movie.douban.com/subject/1419936/,4.5,8.7,284434
231,完美陌生人,https://movie.douban.com/subject/26614893/,4.5,8.5,439995
232,谍影重重,https://movie.douban.com/subject/1304102/,4.5,8.6,342778
233,香水,https://movie.douban.com/subject/1760622/,4.5,8.5,455018
234,东京教父,https://movie.douban.com/subject/1310177/,4.5,9.0,139705
